FECHA,PRECIPITACION,EMBALSE_NOMBRE
07-05-2013,0,Aldeadávila
08-05-2013,0.4,Aldeadávila
09-05-2013,7.4,Aldeadávila
10-05-2013,0.2,Aldeadávila
11-05-2013,0,Aldeadávila
12-05-2013,0,Aldeadávila
13-05-2013,0,Aldeadávila
14-05-2013,0,Aldeadávila
15-05-2013,5.6,Aldeadávila
16-05-2013,5.2,Aldeadávila
17-05-2013,6.8,Aldeadávila
18-05-2013,2.4,Aldeadávila
19-05-2013,0,Aldeadávila
20-05-2013,0,Aldeadávila
21-05-2013,0,Aldeadávila
22-05-2013,0,Aldeadávila
23-05-2013,0,Aldeadávila
24-05-2013,0,Aldeadávila
25-05-2013,0,Aldeadávila
26-05-2013,0,Aldeadávila
27-05-2013,0,Aldeadávila
28-05-2013,0.2,Aldeadávila
29-05-2013,0.2,Aldeadávila
30-05-2013,0,Aldeadávila
31-05-2013,0,Aldeadávila
01-06-2013,0,Aldeadávila
02-06-2013,0,Aldeadávila
03-06-2013,0,Aldeadávila
04-06-2013,0,Aldeadávila
05-06-2013,3.6,Aldeadávila
06-06-2013,0.6,Aldeadávila
07-06-2013,3.6,Aldeadávila
08-06-2013,0,Aldeadávila
09-06-2013,1,Aldeadávila
10-06-2013,0,Aldeadávila
11-06-2013,0,Aldeadávila
12-06-2013,0,Aldeadávila
13-06-2013,0,Aldeadávila
14-06-2013,0,Aldeadávila
15-06-2013,0,Aldeadávila
16-06-2013,0,Aldeadávila
17-06-2013,2.4,Aldeadávila
18-06-2013,1.2,Aldeadávila
19-06-2013,0.6,Aldeadávila
20-06-2013,0,Aldeadávila
21-06-2013,0,Aldeadávila
22-06-2013,0,Aldeadávila
23-06-2013,0,Aldeadávila
24-06-2013,0,Aldeadávila
25-06-2013,0,Aldeadávila
26-06-2013,0,Aldeadávila
27-06-2013,0,Aldeadávila
28-06-2013,0,Aldeadávila
29-06-2013,0,Aldeadávila
30-06-2013,0,Aldeadávila
01-07-2013,0,Aldeadávila
02-07-2013,0,Aldeadávila
03-07-2013,0,Aldeadávila
04-07-2013,0,Aldeadávila
05-07-2013,0,Aldeadávila
06-07-2013,0,Aldeadávila
07-07-2013,0,Aldeadávila
08-07-2013,0,Aldeadávila
09-07-2013,0,Aldeadávila
10-07-2013,0,Aldeadávila
11-07-2013,2.2,Aldeadávila
12-07-2013,0,Aldeadávila
13-07-2013,0,Aldeadávila
14-07-2013,0,Aldeadávila
15-07-2013,0,Aldeadávila
16-07-2013,0,Aldeadávila
17-07-2013,0,Aldeadávila
18-07-2013,0,Aldeadávila
19-07-2013,0,Aldeadávila
20-07-2013,0,Aldeadávila
21-07-2013,0,Aldeadávila
22-07-2013,0,Aldeadávila
23-07-2013,0,Aldeadávila
24-07-2013,0,Aldeadávila
25-07-2013,0 ,Aldeadávila
26-07-2013,0,Aldeadávila
27-07-2013,0,Aldeadávila
28-07-2013,0,Aldeadávila
29-07-2013,0,Aldeadávila
30-07-2013,0,Aldeadávila
31-07-2013,0,Aldeadávila
01-08-2013,0,Aldeadávila
02-08-2013,0,Aldeadávila
03-08-2013,0,Aldeadávila
04-08-2013,0,Aldeadávila
05-08-2013,0,Aldeadávila
06-08-2013,0,Aldeadávila
07-08-2013,0,Aldeadávila
08-08-2013,0,Aldeadávila
09-08-2013,0,Aldeadávila
10-08-2013,0,Aldeadávila
11-08-2013,0,Aldeadávila
12-08-2013,0,Aldeadávila
13-08-2013,0,Aldeadávila
14-08-2013,0,Aldeadávila
15-08-2013,0,Aldeadávila
16-08-2013,0,Aldeadávila
17-08-2013,0,Aldeadávila
18-08-2013,0,Aldeadávila
19-08-2013,0,Aldeadávila
20-08-2013,0,Aldeadávila
21-08-2013,0,Aldeadávila
22-08-2013,0,Aldeadávila
